begin;began;begun
break;broke;broken
bring;brought;brought
build;built;built
buy;bought;bought
catch;caught;caught
come;came;come
do;did;done
drink;drank;drunk
eat;ate;eaten
fall;fell;fallen
find;found;found
fly;flew;flown
forget;forgot;forgotten
get;got;got
give;gave;given
go;went;gone
have;had;had
hear;heard;heard
know;knew;known
leave;left;left
lose;lost;lost
make;made;made
meet;met;met
pay;paid;paid
put;put;put
read;read;read
ring;rang;rung
say;said;said
see;saw;seen
sell;sold;sold
sit;sat;sat
sleep;slept;slept
speak;spoke;spoken
stand;stood;stood
take;took;taken
tell;told;told
think;thought;thought
win;won;won
write;wrote;written
