именинником;име_и_ком;
исступлённо кричал;и_ступлё_о кричал;
рваным;рва_ым;
священным;св_ще_ым;
второпях;_т_ропях;
родственники;родстве_ики;
взбешенным;взбеше_ым;
именинником;име_и_ком;
вынужденно отступил;вынужде_о отступил; 
застеленном;застеле_ом;
невоспитанна;невоспита_а;
необразованна;необразова_а;
неслыханна;неслыха_а;
невиданно;невида_о;
богатое приданое;богатое прида_ое;
дистиллированной водой;дисти_рова_ой водой;
коротко стриженную;коротко стриже_ую;
бесприданницы;бесприда_ицы;
уязвлённым;уязвлё_ым;
картинно;карти_о;
замешенным;замеше_ым (тестом, месить);
посеребрённым;посеребрё_ым;
пританцовывал;пр_танцов_вал;
масленой;масле_ой;
упоённо;упоё_о;
тиснёной;тиснё_ой;
экзальтированным;экзальтирова_ым;
ломаные;лома_ые;
непрестанные;непреста_ые;
диковинных;дикови_ых;
исследователей;и_ледователей;
полированных;полирова_ых;
состоящим;с_ст_ящим;
безукоризненной;безук_ризне_ой;
путаными;пута_ыми;
разредить всходы;разр_дить всходы;
разрядить оружие;разр_дить оружие;
старожил;стар_жил;
поглощать;п_гл_щать;
обстоятельства;_бст_ятельства;
ознаменовать;озн_м_новать;
пренебрежительный;пр_н_бр_ж_т_льный;
преподать урок;пр_п_дать урок;
лебединый;л_б_ди_ый;
присягать;пр_с_гать;
облокачиваться;_бл_кач_ваться;
пренебрежение;пр_небр_жение;
апелляция;а_е_яция;
дифференциация;ди_еренциация;
колосс Родосский;коло_ Родосский;
оппозиция;о_озиция;
пессимизм;пе_и_изм;
преградить;пр_градить;
презирать;пр_зирать;
президиум;пр_зидиум;
премудрый;пр_мудрый;
прелюдия;пр_людия;
пресловутый;пр_словутый;
престарелый;пр_ст_релый;
препроводить;пр_проводить;
преуменьшить;пр_уменьшить;
прервать;пр_рвать;
прероготива;пр_рог_тива;
ни рыба, ни мясо;н_ рыба, н_ мясо;
откуда ни возьмись;откуда н_ возьмись;
ни один зверь;н_ один зверь;
ни о чём хорошем;н_ о чём хорошем;
истинной ценностью;исти_ой це_остью;
неказистый;н_к_зистый;
масон;масон;
перила;п_рила;
директриса;д_ректри_а;
оперетка;о_еретка;
театр оперетты;театр о_ере_ы;
коррупция;ко_упция;
плиссе;плис_е;
плисовый;пли_овый;
кириллица;кири_ица;
палас;палас;
врассыпную;вра_ыпную;
стащенным;стаще_ым;
бездонная пропасть;бе_до_ая проп_сть;
как ни в чём не бывало;как н_ в чём н_ бывало;
расстилается;расст_лается;
отнюдь не густая;отнюдь (не)густая;
хочется;хоч_тся;
видеть;вид_ть;
отправился в путь;отправ_лся (в)путь;
общались в дороге;общались (в)дороге;
без остановки;без ост_новк_;
также;так(же) (=ещё, в том числе);
неиссякающая жара;неисс_кающая жара;
отягощает;от_г_щает;
непрестанный;непрестанный;
свиданьице;св_дань_це;
Юлечка;Юл_чка;
пальтецо;пальт_цо;
аллюминиевый;ал_юмин_вый;
приручить;пр_ручить;
преобразованный;пр_образованный;
пресекать;пр_с_кать;
пристегнуть;при_ст_гнуть;
пригладить;пр_гладить;
преданье старины глубокой;пр_данье старины глубокой;
преемник;пр_емник;
притворить дверь;пр_творить дверь;
камень преткновения;камень пр_ткновения;
преходящий момент;пр_ходящий момент;
претерпеть;пр_терпеть;
преклонить колени;пр_клонить колени;
прискорбный факт;пр_скорбный факт;
преемственность;пр_емственность;
стипендия;ст_пендия;
расщелина;ра_щелина;
жюри;ж_ри;
моржовый;морж_вый;
стережёт;стереж_т;
селеньице;с_леньице;
собраньице;собрань_це;
лесничего;л_снич_го;
в стихотворении;в стихотворени_ (в чём);
реет флаг;ре_т флаг;
миграционная;м_грацио_ая;
настежь;наст_ж_;
наотмашь;наотмаш_;
вегетарианский;вег_тарианский;
не оборачиваясь назад;(не)оборачиваясь назад;
не погасив костра;(не)погасив костра;
несолоно хлебавши;(не)солоно хлебавши;
не допить чай из-за спешки;(не)допить чай из-за спешки;
непреложное правило;(не)пр_ложное правило;
дефект;де(фф,ф)ект;
неприступная;непр_ступная;
непререкаемый;непрер_каемый;
не слушая оппонентов;(не)слуш_я о_онентов;
афиши не расклеены;афиш_ (не)раскле__ы;
не заглядывая в будущее;(не)заглядывая в будущее;
атеист;а_еист;
несбыточность помыслов;(не)_быточность помыслов;
выращенный;выр_ще_ый;
перерастание;перер_стание;
прирастить;прир_стить;
произрастать;произр_стать;
прорастать;прор_стать;
прорасти;прор_сти;
разрастись;разр_стись;
